2017/04/23 00:04:11 [release] Leaf 1.1.2 starting up
2017/04/23 00:04:11 [debug  ] Game Module Run	111
2017/04/23 00:04:11 [debug  ] Gate Module Run
2017/04/23 14:42:44 [debug  ] recv Msg:[1 0 0 0 1 0 0 0 104 101 108 108 111 32 120 105 97 111 109 105 110 103 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2017/04/23 14:43:16 [debug  ] read message: EOF
2017/04/23 14:43:16 [debug  ] gs read message: read tcp 127.0.0.1:60513->127.0.0.1:8890: use of closed network connection
2017/04/23 14:43:33 [debug  ] recv Msg:[1 0 0 0 1 0 0 0 104 101 108 108 111 32 120 105 97 111 109 105 110 103 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2017/04/23 14:43:39 [debug  ] read message: EOF
2017/04/23 14:43:39 [debug  ] gs read message: read tcp 127.0.0.1:60538->127.0.0.1:8890: use of closed network connection
2017/04/23 14:49:30 [debug  ] recv Msg:[1 0 0 0 1 0 0 0 104 101 108 108 111 32 120 105 97 111 109 105 110 103 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2017/04/23 14:49:36 [debug  ] read message: EOF
2017/04/23 14:49:36 [debug  ] gs read message: read tcp 127.0.0.1:60703->127.0.0.1:8890: use of closed network connection
2017/04/23 16:32:11 [debug  ] recv Msg:[1 0 0 0 1 0 0 0 104 101 108 108 111 32 120 105 97 111 109 105 110 103 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2017/04/23 16:32:21 [debug  ] read message: EOF
2017/04/23 16:32:21 [debug  ] gs read message: read tcp 127.0.0.1:64985->127.0.0.1:8890: use of closed network connection
